Local Authority,Sex,Statistics,Time period,Indicator Name,Age,Sum of Value
Blackburn with Darwen,Female,Count,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,69
Blackburn with Darwen,Female,Count,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,70
Blackburn with Darwen,Female,Count,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,80
Blackburn with Darwen,Female,Count,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,70
Blackburn with Darwen,Female,Count,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,75
Blackburn with Darwen,Female,Count,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,65
Blackburn with Darwen,Female,Count,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,65
Blackburn with Darwen,Female,Count,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,60
Blackburn with Darwen,Female,Count,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,65
Blackburn with Darwen,Female,Count,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,75
Blackburn with Darwen,Female,Count,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,65
Blackburn with Darwen,Female,Count,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,65
Blackburn with Darwen,Female,Count,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,45
Blackburn with Darwen,Female,Count,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,40
Blackburn with Darwen,Female,Denominator,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,221287
Blackburn with Darwen,Female,Denominator,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,222271
Blackburn with Darwen,Female,Denominator,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,223326
Blackburn with Darwen,Female,Denominator,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,224186
Blackburn with Darwen,Female,Denominator,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,225108
Blackburn with Darwen,Female,Denominator,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,226149
Blackburn with Darwen,Female,Denominator,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,227753
Blackburn with Darwen,Female,Denominator,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,229105
Blackburn with Darwen,Female,Denominator,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,230653
Blackburn with Darwen,Female,Denominator,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,231873
Blackburn with Darwen,Female,Denominator,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,233332
Blackburn with Darwen,Female,Denominator,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,234655
Blackburn with Darwen,Female,Denominator,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,236905
Blackburn with Darwen,Female,Denominator,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,240165
Blackburn with Darwen,Female,Lower CI 95.0 limit,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,22.54898
Blackburn with Darwen,Female,Lower CI 95.0 limit,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,23.03852
Blackburn with Darwen,Female,Lower CI 95.0 limit,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,26.41568
Blackburn with Darwen,Female,Lower CI 95.0 limit,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,24.58994
Blackburn with Darwen,Female,Lower CI 95.0 limit,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,25.41109
Blackburn with Darwen,Female,Lower CI 95.0 limit,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,22.22776
Blackburn with Darwen,Female,Lower CI 95.0 limit,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,20.26627
Blackburn with Darwen,Female,Lower CI 95.0 limit,2017,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,168.1
