Attribute,Local Authority,Sum of Value,Year
Agriculture Electricity,Blackburn with Darwen,0.9520940986505696,2005
Agriculture Electricity,Blackburn with Darwen,1.002886036402642,2006
Agriculture Electricity,Blackburn with Darwen,0.8900209209205048,2007
Agriculture Electricity,Blackburn with Darwen,0.8946407050336433,2008
Agriculture Electricity,Blackburn with Darwen,0.6685587158214882,2009
Agriculture Electricity,Blackburn with Darwen,0.7512450981233728,2010
Agriculture Electricity,Blackburn with Darwen,0.6455439527431821,2011
Agriculture Electricity,Blackburn with Darwen,0.7235004341318068,2012
Agriculture Electricity,Blackburn with Darwen,0.6153386440853307,2013
Agriculture Electricity,Blackburn with Darwen,0.5199219009661963,2014
Agriculture Electricity,Blackburn with Darwen,0.4497203319127835,2015
Agriculture Electricity,Blackburn with Darwen,0.3697244604456162,2016
Agriculture Electricity,Blackburn with Darwen,0.3835148266730185,2017
Agriculture Electricity,Blackburn with Darwen,0.3047903847623083,2018
Agriculture Electricity,Blackburn with Darwen,0.1832703141016116,2019
Agriculture Electricity,Blackburn with Darwen,0.17395279914637166,2020
Agriculture Electricity,Blackburn with Darwen,0.1920547096280647,2021
Agriculture Electricity,Blackburn with Darwen,0.14897388784392224,2022
Agriculture Electricity,Blackburn with Darwen,0.14151557620993774,2023
Agriculture Electricity,Blackpool,0.15669200250059953,2005
Agriculture Electricity,Blackpool,0.16403320973484506,2006
Agriculture Electricity,Blackpool,0.1542461240996162,2007
Agriculture Electricity,Blackpool,0.15466970660227974,2008
Agriculture Electricity,Blackpool,0.130381638779299,2009
Agriculture Electricity,Blackpool,0.13333143935106878,2010
Agriculture Electricity,Blackpool,0.11214720331489136,2011
Agriculture Electricity,Blackpool,0.1309652500966184,2012
Agriculture Electricity,Blackpool,0.11762242201428612,2013
Agriculture Electricity,Blackpool,0.10081419583863495,2014
Agriculture Electricity,Blackpool,0.08575886159364896,2015
Agriculture Electricity,Blackpool,0.05727919708504289,2016
Agriculture Electricity,Blackpool,0.06805547198356734,2017
Agriculture Electricity,Blackpool,0.04730115295683447,2018
Agriculture Electricity,Blackpool,0.04346936863672621,2019
Agriculture Electricity,Blackpool,0.03424633272029349,2020
Agriculture Electricity,Blackpool,0.04469733931713948,2021
Agriculture Electricity,Blackpool,0.017724893327756713,2022
Agriculture Electricity,Blackpool,0.0130102246956969,2023
Agriculture Electricity,Burnley,0.8931059703908815,2005
Agriculture Electricity,Burnley,0.8594215914055616,2006
Agriculture Electricity,Burnley,0.7842881075471253,2007
Agriculture Electricity,Burnley,0.7622114298990972,2008
Agriculture Electricity,Burnley,0.6058624380286873,2009
Agriculture Electricity,Burnley,0.6656216688847149,2010
Agriculture Electricity,Burnley,0.5749781037507575,2011
Agriculture Electricity,Burnley,0.647237725701374,2012
Agriculture Electricity,Burnley,0.5981875365362014,2013
Agriculture Electricity,Burnley,0.5112186617836679,2014
Agriculture Electricity,Burnley,0.4429962715239316,2015
Agriculture Electricity,Burnley,0.3520345459604709,2016
Agriculture Electricity,Burnley,0.4655751273925764,2017
Agriculture Electricity,Burnley,0.34007096704057344,2018
Agriculture Electricity,Burnley,0.24825317949921363,2019
Agriculture Electricity,Burnley,0.2976468487609831,2020
Agriculture Electricity,Burnley,0.37904331310262396,2021
Agriculture Electricity,Burnley,0.6215904740182958,2022
Agriculture Electricity,Burnley,0.5620077491355745,2023
Agriculture Electricity,Chorley,3.2882704420217848,2005
Agriculture Electricity,Chorley,3.580440221740937,2006
Agriculture Electricity,Chorley,3.5804169527015985,2007
Agriculture Electricity,Chorley,3.464100344283339,2008
Agriculture Electricity,Chorley,2.941455530430591,2009
Agriculture Electricity,Chorley,3.033981238545186,2010
