Region name,Transaction,Year,Sum of Value
Blackburn with Darwen,Balance of primary incomes,1997,1220
Blackburn with Darwen,Balance of primary incomes,1998,1237
Blackburn with Darwen,Balance of primary incomes,1999,1303
Blackburn with Darwen,Balance of primary incomes,2000,1375
Blackburn with Darwen,Balance of primary incomes,2001,1393
Blackburn with Darwen,Balance of primary incomes,2002,1400
Blackburn with Darwen,Balance of primary incomes,2003,1441
Blackburn with Darwen,Balance of primary incomes,2004,1506
Blackburn with Darwen,Balance of primary incomes,2005,1618
Blackburn with Darwen,Balance of primary incomes,2006,1683
Blackburn with Darwen,Balance of primary incomes,2007,1749
Blackburn with Darwen,Balance of primary incomes,2008,1691
Blackburn with Darwen,Balance of primary incomes,2009,1658
Blackburn with Darwen,Balance of primary incomes,2010,1819
Blackburn with Darwen,Balance of primary incomes,2011,1748
Blackburn with Darwen,Balance of primary incomes,2012,1712
Blackburn with Darwen,Balance of primary incomes,2013,1738
Blackburn with Darwen,Balance of primary incomes,2014,1781
Blackburn with Darwen,Balance of primary incomes,2015,1839
Blackburn with Darwen,Balance of primary incomes,2016,1859
Blackburn with Darwen,Balance of primary incomes,2017,1988
Blackburn with Darwen,Balance of primary incomes,2018,2102
Blackburn with Darwen,Balance of primary incomes,2019,2269
Blackburn with Darwen,Balance of primary incomes,2020,2315
Blackburn with Darwen,Balance of primary incomes,2021,2476
Blackburn with Darwen,Balance of primary incomes,2022,2716
Blackburn with Darwen,Balance of secondary income,1997,-66
Blackburn with Darwen,Balance of secondary income,1998,-76
Blackburn with Darwen,Balance of secondary income,1999,-86
Blackburn with Darwen,Balance of secondary income,2000,-157
Blackburn with Darwen,Balance of secondary income,2001,-132
Blackburn with Darwen,Balance of secondary income,2002,-135
Blackburn with Darwen,Balance of secondary income,2003,-112
Blackburn with Darwen,Balance of secondary income,2004,-126
Blackburn with Darwen,Balance of secondary income,2005,-161
Blackburn with Darwen,Balance of secondary income,2006,-167
Blackburn with Darwen,Balance of secondary income,2007,-197
Blackburn with Darwen,Balance of secondary income,2008,-133
Blackburn with Darwen,Balance of secondary income,2009,-48
Blackburn with Darwen,Balance of secondary income,2010,-147
Blackburn with Darwen,Balance of secondary income,2011,-76
Blackburn with Darwen,Balance of secondary income,2012,-11
Blackburn with Darwen,Balance of secondary income,2013,-22
Blackburn with Darwen,Balance of secondary income,2014,-4
Blackburn with Darwen,Balance of secondary income,2015,-14
Blackburn with Darwen,Balance of secondary income,2016,-5
Blackburn with Darwen,Balance of secondary income,2017,-47
Blackburn with Darwen,Balance of secondary income,2018,-67
Blackburn with Darwen,Balance of secondary income,2019,-124
Blackburn with Darwen,Balance of secondary income,2020,-67
Blackburn with Darwen,Balance of secondary income,2021,-139
Blackburn with Darwen,Balance of secondary income,2022,-241
Blackburn with Darwen,Compensation of employees,1997,821
Blackburn with Darwen,Compensation of employees,1998,825
Blackburn with Darwen,Compensation of employees,1999,860
Blackburn with Darwen,Compensation of employees,2000,893
Blackburn with Darwen,Compensation of employees,2001,928
Blackburn with Darwen,Compensation of employees,2002,930
Blackburn with Darwen,Compensation of employees,2003,967
Blackburn with Darwen,Compensation of employees,2004,1014
Blackburn with Darwen,Compensation of employees,2005,1083
Blackburn with Darwen,Compensation of employees,2006,1139
Blackburn with Darwen,Compensation of employees,2007,1178
Blackburn with Darwen,Compensation of employees,2008,1160
Blackburn with Darwen,Compensation of employees,2009,1129
Blackburn with Darwen,Compensation of employees,2010,1221
Blackburn with Darwen,Compensation of employees,2011,1192
Blackburn with Darwen,Compensation of employees,2012,1179
Blackburn with Darwen,Compensation of employees,2013,1173
Blackburn with Darwen,Compensation of employees,2014,1207
Blackburn with Darwen,Compensation of employees,2015,1239
Blackburn with Darwen,Compensation of employees,2016,1269
Blackburn with Darwen,Compensation of employees,2017,1377
Blackburn with Darwen,Compensation of employees,2018,1472
Blackburn with Darwen,Compensation of employees,2019,1613
Blackburn with Darwen,Compensation of employees,2020,1705
Blackburn with Darwen,Compensation of employees,2021,1804
Blackburn with Darwen,Compensation of employees,2022,1940
Blackburn with Darwen,"Current taxes on income, wealth etc",1997,149
Blackburn with Darwen,"Current taxes on income, wealth etc",1998,161
Blackburn with Darwen,"Current taxes on income, wealth etc",1999,161
Blackburn with Darwen,"Current taxes on income, wealth etc",2000,166
Blackburn with Darwen,"Current taxes on income, wealth etc",2001,173
Blackburn with Darwen,"Current taxes on income, wealth etc",2002,173
Blackburn with Darwen,"Current taxes on income, wealth etc",2003,184
Blackburn with Darwen,"Current taxes on income, wealth etc",2004,192
Blackburn with Darwen,"Current taxes on income, wealth etc",2005,203
Blackburn with Darwen,"Current taxes on income, wealth etc",2006,214
Blackburn with Darwen,"Current taxes on income, wealth etc",2007,220
Blackburn with Darwen,"Current taxes on income, wealth etc",2008,225
Blackburn with Darwen,"Current taxes on income, wealth etc",2009,211
Blackburn with Darwen,"Current taxes on income, wealth etc",2010,218
Blackburn with Darwen,"Current taxes on income, wealth etc",2011,215
Blackburn with Darwen,"Current taxes on income, wealth etc",2012,203
Blackburn with Darwen,"Current taxes on income, wealth etc",2013,200
Blackburn with Darwen,"Current taxes on income, wealth etc",2014,203
Blackburn with Darwen,"Current taxes on income, wealth etc",2015,205
Blackburn with Darwen,"Current taxes on income, wealth etc",2016,206
Blackburn with Darwen,"Current taxes on income, wealth etc",2017,235
Blackburn with Darwen,"Current taxes on income, wealth etc",2018,254
Blackburn with Darwen,"Current taxes on income, wealth etc",2019,272
Blackburn with Darwen,"Current taxes on income, wealth etc",2020,284
Blackburn with Darwen,"Current taxes on income, wealth etc",2021,321
Blackburn with Darwen,"Current taxes on income, wealth etc",2022,357
Blackburn with Darwen,Gross Disposable Income,1997,1154
Blackburn with Darwen,Gross Disposable Income,1998,1161
Blackburn with Darwen,Gross Disposable Income,1999,1216
Blackburn with Darwen,Gross Disposable Income,2000,1218
Blackburn with Darwen,Gross Disposable Income,2001,1261
Blackburn with Darwen,Gross Disposable Income,2002,1264
Blackburn with Darwen,Gross Disposable Income,2003,1330
Blackburn with Darwen,Gross Disposable Income,2004,1380
Blackburn with Darwen,Gross Disposable Income,2005,1457
Blackburn with Darwen,Gross Disposable Income,2006,1515
Blackburn with Darwen,Gross Disposable Income,2007,1551
Blackburn with Darwen,Gross Disposable Income,2008,1558
Blackburn with Darwen,Gross Disposable Income,2009,1610
Blackburn with Darwen,Gross Disposable Income,2010,1673
Blackburn with Darwen,Gross Disposable Income,2011,1672
Blackburn with Darwen,Gross Disposable Income,2012,1701
Blackburn with Darwen,Gross Disposable Income,2013,1716
Blackburn with Darwen,Gross Disposable Income,2014,1777
Blackburn with Darwen,Gross Disposable Income,2015,1825
Blackburn with Darwen,Gross Disposable Income,2016,1854
Blackburn with Darwen,Gross Disposable Income,2017,1942
Blackburn with Darwen,Gross Disposable Income,2018,2036
Blackburn with Darwen,Gross Disposable Income,2019,2145
Blackburn with Darwen,Gross Disposable Income,2020,2248
Blackburn with Darwen,Gross Disposable Income,2021,2337
Blackburn with Darwen,Gross Disposable Income,2022,2475
Blackburn with Darwen,Imputed social contributions/Social benefits received,1997,365
Blackburn with Darwen,Imputed social contributions/Social benefits received,1998,372
Blackburn with Darwen,Imputed social contributions/Social benefits received,1999,392
Blackburn with Darwen,Imputed social contributions/Social benefits received,2000,379
Blackburn with Darwen,Imputed social contributions/Social benefits received,2001,392
Blackburn with Darwen,Imputed social contributions/Social benefits received,2002,403
Blackburn with Darwen,Imputed social contributions/Social benefits received,2003,448
Blackburn with Darwen,Imputed social contributions/Social benefits received,2004,479
Blackburn with Darwen,Imputed social contributions/Social benefits received,2005,512
Blackburn with Darwen,Imputed social contributions/Social benefits received,2006,535
Blackburn with Darwen,Imputed social contributions/Social benefits received,2007,547
Blackburn with Darwen,Imputed social contributions/Social benefits received,2008,581
Blackburn with Darwen,Imputed social contributions/Social benefits received,2009,640
Blackburn with Darwen,Imputed social contributions/Social benefits received,2010,664
Blackburn with Darwen,Imputed social contributions/Social benefits received,2011,671
Blackburn with Darwen,Imputed social contributions/Social benefits received,2012,688
Blackburn with Darwen,Imputed social contributions/Social benefits received,2013,690
Blackburn with Darwen,Imputed social contributions/Social benefits received,2014,688
Blackburn with Darwen,Imputed social contributions/Social benefits received,2015,696
Blackburn with Darwen,Imputed social contributions/Social benefits received,2016,715
Blackburn with Darwen,Imputed social contributions/Social benefits received,2017,714
Blackburn with Darwen,Imputed social contributions/Social benefits received,2018,738
Blackburn with Darwen,Imputed social contributions/Social benefits received,2019,730
Blackburn with Darwen,Imputed social contributions/Social benefits received,2020,785
Blackburn with Darwen,Imputed social contributions/Social benefits received,2021,812
Blackburn with Darwen,Imputed social contributions/Social benefits received,2022,837
Blackburn with Darwen,Mixed income,1997,85
Blackburn with Darwen,Mixed income,1998,88
Blackburn with Darwen,Mixed income,1999,96
Blackburn with Darwen,Mixed income,2000,96
Blackburn with Darwen,Mixed income,2001,100
Blackburn with Darwen,Mixed income,2002,109
Blackburn with Darwen,Mixed income,2003,110
Blackburn with Darwen,Mixed income,2004,112
Blackburn with Darwen,Mixed income,2005,120
Blackburn with Darwen,Mixed income,2006,127
Blackburn with Darwen,Mixed income,2007,123
Blackburn with Darwen,Mixed income,2008,123
Blackburn with Darwen,Mixed income,2009,123
Blackburn with Darwen,Mixed income,2010,130
Blackburn with Darwen,Mixed income,2011,132
Blackburn with Darwen,Mixed income,2012,129
Blackburn with Darwen,Mixed income,2013,134
Blackburn with Darwen,Mixed income,2014,142
Blackburn with Darwen,Mixed income,2015,148
Blackburn with Darwen,Mixed income,2016,151
Blackburn with Darwen,Mixed income,2017,167
Blackburn with Darwen,Mixed income,2018,171
Blackburn with Darwen,Mixed income,2019,188
Blackburn with Darwen,Mixed income,2020,195
Blackburn with Darwen,Mixed income,2021,195
Blackburn with Darwen,Mixed income,2022,197
Blackburn with Darwen,Operating surplus,1997,133
Blackburn with Darwen,Operating surplus,1998,139
Blackburn with Darwen,Operating surplus,1999,159
