Local Authority,Age Range,Sex,Sum of Value
Blackburn with Darwen,Aged 0 - 15,Female,409860
Blackburn with Darwen,Aged 0 - 15,Male,427801
Blackburn with Darwen,Aged 0 - 15,Total,837661
Blackburn with Darwen,Aged 16 - 64,Female,1119144
Blackburn with Darwen,Aged 16 - 64,Male,1127612
Blackburn with Darwen,Aged 16 - 64,Total,2246756
Blackburn with Darwen,Aged 65 and over,Female,267464
Blackburn with Darwen,Aged 65 and over,Male,218802
Blackburn with Darwen,Aged 65 and over,Total,486266
Blackpool,Aged 0 - 15,Female,302178
Blackpool,Aged 0 - 15,Male,313390
Blackpool,Aged 0 - 15,Total,615568
Blackpool,Aged 16 - 64,Female,1064210
Blackpool,Aged 16 - 64,Male,1064129
Blackpool,Aged 16 - 64,Total,2128339
Blackpool,Aged 65 and over,Female,376013
Blackpool,Aged 65 and over,Male,300932
Blackpool,Aged 65 and over,Total,676945
Burnley,Aged 0 - 15,Female,216407
Burnley,Aged 0 - 15,Male,229716
Burnley,Aged 0 - 15,Total,446123
Burnley,Aged 16 - 64,Female,683509
Burnley,Aged 16 - 64,Male,672541
Burnley,Aged 16 - 64,Total,1356050
Burnley,Aged 65 and over,Female,201299
Burnley,Aged 65 and over,Male,162234
Burnley,Aged 65 and over,Total,363533
Chorley,Aged 0 - 15,Female,237281
Chorley,Aged 0 - 15,Male,248453
Chorley,Aged 0 - 15,Total,485734
Chorley,Aged 16 - 64,Female,828813
Chorley,Aged 16 - 64,Male,855454
Chorley,Aged 16 - 64,Total,1684267
Chorley,Aged 65 and over,Female,255024
Chorley,Aged 65 and over,Male,216014
Chorley,Aged 65 and over,Total,471038
Fylde,Aged 0 - 15,Female,143956
Fylde,Aged 0 - 15,Male,148269
Fylde,Aged 0 - 15,Total,292225
Fylde,Aged 16 - 64,Female,545233
Fylde,Aged 16 - 64,Male,547475
Fylde,Aged 16 - 64,Total,1092708
Fylde,Aged 65 and over,Female,265073
Fylde,Aged 65 and over,Male,209401
Fylde,Aged 65 and over,Total,474474
Great Britain,Aged 0 - 15,Female,136600777
Great Britain,Aged 0 - 15,Male,143417499
Great Britain,Aged 0 - 15,Total,280018276
Great Britain,Aged 16 - 64,Female,479848890
Great Britain,Aged 16 - 64,Male,470973162
Great Britain,Aged 16 - 64,Total,950822052
Great Britain,Aged 65 and over,Female,142768700
Great Britain,Aged 65 and over,Male,114671482
Great Britain,Aged 65 and over,Total,257440182
Hyndburn,Aged 0 - 15,Female,200489
Hyndburn,Aged 0 - 15,Male,210684
Hyndburn,Aged 0 - 15,Total,411173
Hyndburn,Aged 16 - 64,Female,612270
Hyndburn,Aged 16 - 64,Male,609583
Hyndburn,Aged 16 - 64,Total,1221853
Hyndburn,Aged 65 and over,Female,180479
Hyndburn,Aged 65 and over,Male,146920
Hyndburn,Aged 65 and over,Total,327399
Lancaster,Aged 0 - 15,Female,272875
Lancaster,Aged 0 - 15,Male,287791
Lancaster,Aged 0 - 15,Total,560666
Lancaster,Aged 16 - 64,Female,1077068
Lancaster,Aged 16 - 64,Male,1044971
Lancaster,Aged 16 - 64,Total,2122039
Lancaster,Aged 65 and over,Female,355278
Lancaster,Aged 65 and over,Male,283668
Lancaster,Aged 65 and over,Total,638946
North West,Aged 0 - 15,Female,15960801
