Sum of Value,Year,Quarter,Month,Day,Range (groups),Range,Local Authority,Attribute
6726,2013,Qtr 3,September,1,18-24,18 to 20,Blackburn with Darwen,Number of previous offences
750,2013,Qtr 3,September,1,18-24,18 to 20,Blackburn with Darwen,offenders
1050,2013,Qtr 3,September,1,18-24,18 to 20,Blackburn with Darwen,reoffences
300,2013,Qtr 3,September,1,18-24,18 to 20,Blackburn with Darwen,reoffenders
10728,2013,Qtr 3,September,1,18-24,18 to 20,Blackpool,Number of previous offences
966,2013,Qtr 3,September,1,18-24,18 to 20,Blackpool,offenders
1356,2013,Qtr 3,September,1,18-24,18 to 20,Blackpool,reoffences
408,2013,Qtr 3,September,1,18-24,18 to 20,Blackpool,reoffenders
49204,2013,Qtr 3,September,1,18-24,18 to 20,Lancashire,Number of previous offences
5516,2013,Qtr 3,September,1,18-24,18 to 20,Lancashire,offenders
6478,2013,Qtr 3,September,1,18-24,18 to 20,Lancashire,reoffences
2078,2013,Qtr 3,September,1,18-24,18 to 20,Lancashire,reoffenders
14919,2013,Qtr 3,September,1,18-24,21 to 24,Blackburn with Darwen,Number of previous offences
1128,2013,Qtr 3,September,1,18-24,21 to 24,Blackburn with Darwen,offenders
1437,2013,Qtr 3,September,1,18-24,21 to 24,Blackburn with Darwen,reoffences
420,2013,Qtr 3,September,1,18-24,21 to 24,Blackburn with Darwen,reoffenders
19299,2013,Qtr 3,September,1,18-24,21 to 24,Blackpool,Number of previous offences
1485,2013,Qtr 3,September,1,18-24,21 to 24,Blackpool,offenders
1641,2013,Qtr 3,September,1,18-24,21 to 24,Blackpool,reoffences
534,2013,Qtr 3,September,1,18-24,21 to 24,Blackpool,reoffenders
88116,2013,Qtr 3,September,1,18-24,21 to 24,Lancashire,Number of previous offences
7552,2013,Qtr 3,September,1,18-24,21 to 24,Lancashire,offenders
7299,2013,Qtr 3,September,1,18-24,21 to 24,Lancashire,reoffences
2520,2013,Qtr 3,September,1,18-24,21 to 24,Lancashire,reoffenders
25488,2013,Qtr 3,September,1,25-34,25 to 29,Blackburn with Darwen,Number of previous offences
1251,2013,Qtr 3,September,1,25-34,25 to 29,Blackburn with Darwen,offenders
2328,2013,Qtr 3,September,1,25-34,25 to 29,Blackburn with Darwen,reoffences
552,2013,Qtr 3,September,1,25-34,25 to 29,Blackburn with Darwen,reoffenders
26619,2013,Qtr 3,September,1,25-34,25 to 29,Blackpool,Number of previous offences
1560,2013,Qtr 3,September,1,25-34,25 to 29,Blackpool,offenders
1686,2013,Qtr 3,September,1,25-34,25 to 29,Blackpool,reoffences
468,2013,Qtr 3,September,1,25-34,25 to 29,Blackpool,reoffenders
126311,2013,Qtr 3,September,1,25-34,25 to 29,Lancashire,Number of previous offences
7765,2013,Qtr 3,September,1,25-34,25 to 29,Lancashire,offenders
9267,2013,Qtr 3,September,1,25-34,25 to 29,Lancashire,reoffences
2590,2013,Qtr 3,September,1,25-34,25 to 29,Lancashire,reoffenders
28725,2013,Qtr 3,September,1,25-34,30 to 34,Blackburn with Darwen,Number of previous offences
1044,2013,Qtr 3,September,1,25-34,30 to 34,Blackburn with Darwen,offenders
1752,2013,Qtr 3,September,1,25-34,30 to 34,Blackburn with Darwen,reoffences
435,2013,Qtr 3,September,1,25-34,30 to 34,Blackburn with Darwen,reoffenders
35778,2013,Qtr 3,September,1,25-34,30 to 34,Blackpool,Number of previous offences
1347,2013,Qtr 3,September,1,25-34,30 to 34,Blackpool,offenders
1890,2013,Qtr 3,September,1,25-34,30 to 34,Blackpool,reoffences
507,2013,Qtr 3,September,1,25-34,30 to 34,Blackpool,reoffenders
143646,2013,Qtr 3,September,1,25-34,30 to 34,Lancashire,Number of previous offences
6095,2013,Qtr 3,September,1,25-34,30 to 34,Lancashire,offenders
8531,2013,Qtr 3,September,1,25-34,30 to 34,Lancashire,reoffences
2075,2013,Qtr 3,September,1,25-34,30 to 34,Lancashire,reoffenders
29214,2013,Qtr 3,September,1,35-49,35 to 39,Blackburn with Darwen,Number of previous offences
762,2013,Qtr 3,September,1,35-49,35 to 39,Blackburn with Darwen,offenders
1353,2013,Qtr 3,September,1,35-49,35 to 39,Blackburn with Darwen,reoffences
285,2013,Qtr 3,September,1,35-49,35 to 39,Blackburn with Darwen,reoffenders
36120,2013,Qtr 3,September,1,35-49,35 to 39,Blackpool,Number of previous offences
1161,2013,Qtr 3,September,1,35-49,35 to 39,Blackpool,offenders
1893,2013,Qtr 3,September,1,35-49,35 to 39,Blackpool,reoffences
453,2013,Qtr 3,September,1,35-49,35 to 39,Blackpool,reoffenders
154351,2013,Qtr 3,September,1,35-49,35 to 39,Lancashire,Number of previous offences
5012,2013,Qtr 3,September,1,35-49,35 to 39,Lancashire,offenders
8099,2013,Qtr 3,September,1,35-49,35 to 39,Lancashire,reoffences
1797,2013,Qtr 3,September,1,35-49,35 to 39,Lancashire,reoffenders
20127,2013,Qtr 3,September,1,35-49,40 to 44,Blackburn with Darwen,Number of previous offences
543,2013,Qtr 3,September,1,35-49,40 to 44,Blackburn with Darwen,offenders
453,2013,Qtr 3,September,1,35-49,40 to 44,Blackburn with Darwen,reoffences
177,2013,Qtr 3,September,1,35-49,40 to 44,Blackburn with Darwen,reoffenders
45018,2013,Qtr 3,September,1,35-49,40 to 44,Blackpool,Number of previous offences
1104,2013,Qtr 3,September,1,35-49,40 to 44,Blackpool,offenders
1791,2013,Qtr 3,September,1,35-49,40 to 44,Blackpool,reoffences
378,2013,Qtr 3,September,1,35-49,40 to 44,Blackpool,reoffenders
131707,2013,Qtr 3,September,1,35-49,40 to 44,Lancashire,Number of previous offences
4152,2013,Qtr 3,September,1,35-49,40 to 44,Lancashire,offenders
4927,2013,Qtr 3,September,1,35-49,40 to 44,Lancashire,reoffences
1334,2013,Qtr 3,September,1,35-49,40 to 44,Lancashire,reoffenders
16080,2013,Qtr 3,September,1,35-49,45 to 49,Blackburn with Darwen,Number of previous offences
411,2013,Qtr 3,September,1,35-49,45 to 49,Blackburn with Darwen,offenders
516,2013,Qtr 3,September,1,35-49,45 to 49,Blackburn with Darwen,reoffences
141,2013,Qtr 3,September,1,35-49,45 to 49,Blackburn with Darwen,reoffenders
22140,2013,Qtr 3,September,1,35-49,45 to 49,Blackpool,Number of previous offences
765,2013,Qtr 3,September,1,35-49,45 to 49,Blackpool,offenders
750,2013,Qtr 3,September,1,35-49,45 to 49,Blackpool,reoffences
213,2013,Qtr 3,September,1,35-49,45 to 49,Blackpool,reoffenders
78947,2013,Qtr 3,September,1,35-49,45 to 49,Lancashire,Number of previous offences
2912,2013,Qtr 3,September,1,35-49,45 to 49,Lancashire,offenders
3239,2013,Qtr 3,September,1,35-49,45 to 49,Lancashire,reoffences
790,2013,Qtr 3,September,1,35-49,45 to 49,Lancashire,reoffenders
9213,2013,Qtr 3,September,1,50+,50+,Blackburn with Darwen,Number of previous offences
546,2013,Qtr 3,September,1,50+,50+,Blackburn with Darwen,offenders
444,2013,Qtr 3,September,1,50+,50+,Blackburn with Darwen,reoffences
108,2013,Qtr 3,September,1,50+,50+,Blackburn with Darwen,reoffenders
25896,2013,Qtr 3,September,1,50+,50+,Blackpool,Number of previous offences
993,2013,Qtr 3,September,1,50+,50+,Blackpool,offenders
1131,2013,Qtr 3,September,1,50+,50+,Blackpool,reoffences
213,2013,Qtr 3,September,1,50+,50+,Blackpool,reoffenders
81402,2013,Qtr 3,September,1,50+,50+,Lancashire,Number of previous offences
3957,2013,Qtr 3,September,1,50+,50+,Lancashire,offenders
2817,2013,Qtr 3,September,1,50+,50+,Lancashire,reoffences
770,2013,Qtr 3,September,1,50+,50+,Lancashire,reoffenders
14049,2013,Qtr 3,September,1,Female,Female,Blackburn with Darwen,Number of previous offences
1194,2013,Qtr 3,September,1,Female,Female,Blackburn with Darwen,offenders
1268,2013,Qtr 3,September,1,Female,Female,Blackburn with Darwen,reoffences
352,2013,Qtr 3,September,1,Female,Female,Blackburn with Darwen,reoffenders
23294,2013,Qtr 3,September,1,Female,Female,Blackpool,Number of previous offences
2117,2013,Qtr 3,September,1,Female,Female,Blackpool,offenders
1876,2013,Qtr 3,September,1,Female,Female,Blackpool,reoffences
530,2013,Qtr 3,September,1,Female,Female,Blackpool,reoffenders
104057,2013,Qtr 3,September,1,Female,Female,Lancashire,Number of previous offences
9235,2013,Qtr 3,September,1,Female,Female,Lancashire,offenders
8986,2013,Qtr 3,September,1,Female,Female,Lancashire,reoffences
2408,2013,Qtr 3,September,1,Female,Female,Lancashire,reoffenders
138539,2013,Qtr 3,September,1,Male,Male,Blackburn with Darwen,Number of previous offences
5909,2013,Qtr 3,September,1,Male,Male,Blackburn with Darwen,offenders
9017,2013,Qtr 3,September,1,Male,Male,Blackburn with Darwen,reoffences
2354,2013,Qtr 3,September,1,Male,Male,Blackburn with Darwen,reoffenders
206480,2013,Qtr 3,September,1,Male,Male,Blackpool,Number of previous offences
8328,2013,Qtr 3,September,1,Male,Male,Blackpool,offenders
13078,2013,Qtr 3,September,1,Male,Male,Blackpool,reoffences
3184,2013,Qtr 3,September,1,Male,Male,Blackpool,reoffenders
776867,2013,Qtr 3,September,1,Male,Male,Lancashire,Number of previous offences
39791,2013,Qtr 3,September,1,Male,Male,Lancashire,offenders
51993,2013,Qtr 3,September,1,Male,Male,Lancashire,reoffences
14353,2013,Qtr 3,September,1,Male,Male,Lancashire,reoffenders
420,2013,Qtr 3,September,1,Under 18s,10 to 14,Blackburn with Darwen,Number of previous offences
196,2013,Qtr 3,September,1,Under 18s,10 to 14,Blackburn with Darwen,offenders
368,2013,Qtr 3,September,1,Under 18s,10 to 14,Blackburn with Darwen,reoffences
88,2013,Qtr 3,September,1,Under 18s,10 to 14,Blackburn with Darwen,reoffenders
1076,2013,Qtr 3,September,1,Under 18s,10 to 14,Blackpool,Number of previous offences
180,2013,Qtr 3,September,1,Under 18s,10 to 14,Blackpool,offenders
1092,2013,Qtr 3,September,1,Under 18s,10 to 14,Blackpool,reoffences
100,2013,Qtr 3,September,1,Under 18s,10 to 14,Blackpool,reoffenders
3230,2013,Qtr 3,September,1,Under 18s,10 to 14,Lancashire,Number of previous offences
1566,2013,Qtr 3,September,1,Under 18s,10 to 14,Lancashire,offenders
2813,2013,Qtr 3,September,1,Under 18s,10 to 14,Lancashire,reoffences
743,2013,Qtr 3,September,1,Under 18s,10 to 14,Lancashire,reoffenders
1676,2013,Qtr 3,September,1,Under 18s,15 to 17,Blackburn with Darwen,Number of previous offences
472,2013,Qtr 3,September,1,Under 18s,15 to 17,Blackburn with Darwen,offenders
584,2013,Qtr 3,September,1,Under 18s,15 to 17,Blackburn with Darwen,reoffences
200,2013,Qtr 3,September,1,Under 18s,15 to 17,Blackburn with Darwen,reoffenders
7100,2013,Qtr 3,September,1,Under 18s,15 to 17,Blackpool,Number of previous offences
884,2013,Qtr 3,September,1,Under 18s,15 to 17,Blackpool,offenders
1724,2013,Qtr 3,September,1,Under 18s,15 to 17,Blackpool,reoffences
440,2013,Qtr 3,September,1,Under 18s,15 to 17,Blackpool,reoffenders
24010,2013,Qtr 3,September,1,Under 18s,15 to 17,Lancashire,Number of previous offences
4499,2013,Qtr 3,September,1,Under 18s,15 to 17,Lancashire,offenders
7509,2013,Qtr 3,September,1,Under 18s,15 to 17,Lancashire,reoffences
2064,2013,Qtr 3,September,1,Under 18s,15 to 17,Lancashire,reoffenders
