Local Authority,Attribute,Financial Year,Sum of Value
Blackburn with Darwen Borough Council,Household - civic amenity sites (not recycled) (tonnes),2014,5743
Blackburn with Darwen Borough Council,Household - civic amenity sites (not recycled) (tonnes),2015,7020
Blackburn with Darwen Borough Council,Household - civic amenity sites (not recycled) (tonnes),2016,7963
Blackburn with Darwen Borough Council,Household - civic amenity sites (not recycled) (tonnes),2017,9538
Blackburn with Darwen Borough Council,Household - civic amenity sites (not recycled) (tonnes),2018,9469
Blackburn with Darwen Borough Council,Household - civic amenity sites (not recycled) (tonnes),2019,8137
Blackburn with Darwen Borough Council,Household - civic amenity sites (not recycled) (tonnes),2020,3807
Blackburn with Darwen Borough Council,Household - civic amenity sites (not recycled) (tonnes),2021,7655
Blackburn with Darwen Borough Council,Household - civic amenity sites (not recycled) (tonnes),2022,7556
Blackburn with Darwen Borough Council,Household - civic amenity sites (not recycled) (tonnes),2023,8030
Blackburn with Darwen Borough Council,Household - estimated rejects (tonnes),2014,3052
Blackburn with Darwen Borough Council,Household - estimated rejects (tonnes),2015,1994
Blackburn with Darwen Borough Council,Household - estimated rejects (tonnes),2016,1466
Blackburn with Darwen Borough Council,Household - estimated rejects (tonnes),2017,1432
Blackburn with Darwen Borough Council,Household - estimated rejects (tonnes),2018,2172
Blackburn with Darwen Borough Council,Household - estimated rejects (tonnes),2019,2358
Blackburn with Darwen Borough Council,Household - estimated rejects (tonnes),2020,2001
Blackburn with Darwen Borough Council,Household - estimated rejects (tonnes),2021,1128
Blackburn with Darwen Borough Council,Household - estimated rejects (tonnes),2022,1351
Blackburn with Darwen Borough Council,Household - estimated rejects (tonnes),2023,1902
Blackburn with Darwen Borough Council,Household - other sources (not recycled) (tonnes),2014,4011
Blackburn with Darwen Borough Council,Household - other sources (not recycled) (tonnes),2015,4280
Blackburn with Darwen Borough Council,Household - other sources (not recycled) (tonnes),2016,2837
Blackburn with Darwen Borough Council,Household - other sources (not recycled) (tonnes),2017,2143
Blackburn with Darwen Borough Council,Household - other sources (not recycled) (tonnes),2018,2566
Blackburn with Darwen Borough Council,Household - other sources (not recycled) (tonnes),2019,2742
Blackburn with Darwen Borough Council,Household - other sources (not recycled) (tonnes),2020,2466
