Local Authority,Time Range,Year,Month,Sum of Value
Blackburn with Darwen,Single Night,2020,June,16
Blackburn with Darwen,Single Night,2020,July,10
Blackburn with Darwen,Single Night,2020,August,13
Blackburn with Darwen,Single Night,2020,September,11
Blackburn with Darwen,Single Night,2020,October,21
Blackburn with Darwen,Single Night,2020,November,17
Blackburn with Darwen,Single Night,2020,December,2
Blackburn with Darwen,Single Night,2021,January,8
Blackburn with Darwen,Single Night,2021,February,7
Blackburn with Darwen,Single Night,2021,March,12
Blackburn with Darwen,Single Night,2021,April,10
Blackburn with Darwen,Single Night,2021,May,11
Blackburn with Darwen,Single Night,2021,June,11
Blackburn with Darwen,Single Night,2021,July,11
Blackburn with Darwen,Single Night,2021,August,13
Blackburn with Darwen,Single Night,2021,September,11
Blackburn with Darwen,Single Night,2021,October,11
Blackburn with Darwen,Single Night,2021,November,12
Blackburn with Darwen,Single Night,2021,December,7
Blackburn with Darwen,Single Night,2022,January,8
Blackburn with Darwen,Single Night,2022,February,7
Blackburn with Darwen,Single Night,2022,March,12
Blackburn with Darwen,Single Night,2022,April,12
Blackburn with Darwen,Single Night,2022,May,15
Blackburn with Darwen,Single Night,2022,June,13
Blackburn with Darwen,Single Night,2022,July,13
Blackburn with Darwen,Single Night,2022,August,13
Blackburn with Darwen,Single Night,2022,September,12
Blackburn with Darwen,Single Night,2022,October,9
Blackburn with Darwen,Single Night,2022,November,3
Blackburn with Darwen,Single Night,2022,December,0
Blackburn with Darwen,Single Night,2023,January,0
Blackburn with Darwen,Single Night,2023,February,2
Blackburn with Darwen,Single Night,2023,March,6
Blackburn with Darwen,Single Night,2023,April,3
Blackburn with Darwen,Long Term,2023,May,9
Blackburn with Darwen,Single Night,2023,May,7
Blackburn with Darwen,Long Term,2023,June,11
Blackburn with Darwen,Single Night,2023,June,9
Blackburn with Darwen,Long Term,2023,July,7
Blackburn with Darwen,Single Night,2023,July,6
Blackburn with Darwen,Long Term,2023,August,13
Blackburn with Darwen,Single Night,2023,August,7
Blackburn with Darwen,Long Term,2023,September,19
Blackburn with Darwen,Single Night,2023,September,4
Blackburn with Darwen,Long Term,2023,October,7
Blackburn with Darwen,Single Night,2023,October,6
Blackburn with Darwen,Long Term,2023,November,11
Blackburn with Darwen,Single Night,2023,November,5
Blackburn with Darwen,Long Term,2023,December,8
Blackburn with Darwen,Single Night,2023,December,5
Blackburn with Darwen,Long Term,2024,January,9
