Local Authority,Statistics,Sex,Pay Type,Attribute,Sum of Value
Blackburn with Darwen,10 percentile,Female,Annual pay - gross,Confidence,20
Blackburn with Darwen,10 percentile,Female,Annual pay - gross,Value,9119
Blackpool,10 percentile,Female,Annual pay - gross,Confidence,143
Blackpool,10 percentile,Female,Annual pay - gross,Value,54810
Chorley,10 percentile,Female,Annual pay - gross,Confidence,125
Chorley,10 percentile,Female,Annual pay - gross,Value,53627
Fylde,10 percentile,Female,Annual pay - gross,Confidence,17
Fylde,10 percentile,Female,Annual pay - gross,Value,4539
Great Britain,10 percentile,Female,Annual pay - gross,Confidence,20.8
Great Britain,10 percentile,Female,Annual pay - gross,Value,113497
Hyndburn,10 percentile,Female,Annual pay - gross,Confidence,19
Hyndburn,10 percentile,Female,Annual pay - gross,Value,6973
Lancaster,10 percentile,Female,Annual pay - gross,Confidence,108
Lancaster,10 percentile,Female,Annual pay - gross,Value,41360
North West,10 percentile,Female,Annual pay - gross,Confidence,70.3
North West,10 percentile,Female,Annual pay - gross,Value,113331
Preston,10 percentile,Female,Annual pay - gross,Confidence,72
Preston,10 percentile,Female,Annual pay - gross,Value,24781
Ribble Valley,10 percentile,Female,Annual pay - gross,Confidence,11
Ribble Valley,10 percentile,Female,Annual pay - gross,Value,6714
Rossendale,10 percentile,Female,Annual pay - gross,Confidence,17
Rossendale,10 percentile,Female,Annual pay - gross,Value,6004
South Ribble,10 percentile,Female,Annual pay - gross,Confidence,100
South Ribble,10 percentile,Female,Annual pay - gross,Value,34766
West Lancashire,10 percentile,Female,Annual pay - gross,Confidence,67
West Lancashire,10 percentile,Female,Annual pay - gross,Value,25481
Blackburn with Darwen,10 percentile,Female,Hourly pay - gross,Confidence,39.1
Blackburn with Darwen,10 percentile,Female,Hourly pay - gross,Value,140.25
Blackpool,10 percentile,Female,Hourly pay - gross,Confidence,28.5
Blackpool,10 percentile,Female,Hourly pay - gross,Value,138.2
Burnley,10 percentile,Female,Hourly pay - gross,Confidence,95.8
Burnley,10 percentile,Female,Hourly pay - gross,Value,139.3
Chorley,10 percentile,Female,Hourly pay - gross,Confidence,46
Chorley,10 percentile,Female,Hourly pay - gross,Value,143.56
Fylde,10 percentile,Female,Hourly pay - gross,Confidence,85.6
Fylde,10 percentile,Female,Hourly pay - gross,Value,133.33
Great Britain,10 percentile,Female,Hourly pay - gross,Confidence,1.4
Great Britain,10 percentile,Female,Hourly pay - gross,Value,142.63
Hyndburn,10 percentile,Female,Hourly pay - gross,Confidence,62.2
Hyndburn,10 percentile,Female,Hourly pay - gross,Value,131.93
Lancaster,10 percentile,Female,Hourly pay - gross,Confidence,44.9
Lancaster,10 percentile,Female,Hourly pay - gross,Value,140.84
North West,10 percentile,Female,Hourly pay - gross,Confidence,3.9
North West,10 percentile,Female,Hourly pay - gross,Value,141.49
Pendle,10 percentile,Female,Hourly pay - gross,Confidence,68.1
Pendle,10 percentile,Female,Hourly pay - gross,Value,140.76
Preston,10 percentile,Female,Hourly pay - gross,Confidence,22.9
Preston,10 percentile,Female,Hourly pay - gross,Value,140.42
Ribble Valley,10 percentile,Female,Hourly pay - gross,Confidence,93.3
Ribble Valley,10 percentile,Female,Hourly pay - gross,Value,130.07
Rossendale,10 percentile,Female,Hourly pay - gross,Confidence,63
Rossendale,10 percentile,Female,Hourly pay - gross,Value,135.46
