feature_a,feature_b,pearson_r
children_low_income_relative_level,children_low_income_absolute_level,1.0
children_low_income_relative_level,mean_imd_score,0.91
children_low_income_relative_level,imd_domain_Education,0.92
children_low_income_relative_level,imd_domain_Income,0.95
children_low_income_relative_trend,children_low_income_absolute_trend,0.98
children_low_income_relative_trend,imd_domain_Education,0.87
children_low_income_absolute_level,mean_imd_score,0.9
children_low_income_absolute_level,imd_domain_Education,0.91
children_low_income_absolute_level,imd_domain_Income,0.93
residual_waste_per_household_kg_trend,pct_waste_recycled_trend,-0.88
pct_adults_active_raw_level,mean_imd_score,0.87
pct_adults_active_raw_level,imd_domain_Education,0.88
pct_adults_active_raw_level,imd_domain_Employment,0.91
pct_adults_active_raw_level,imd_domain_Income,0.9
mean_imd_score,imd_domain_Education,0.97
mean_imd_score,imd_domain_Employment,0.97
mean_imd_score,imd_domain_Health,0.92
mean_imd_score,imd_domain_Income,0.99
imd_domain_Education,imd_domain_Employment,0.93
imd_domain_Education,imd_domain_Health,0.88
imd_domain_Education,imd_domain_Income,0.98
imd_domain_Employment,imd_domain_Health,0.96
imd_domain_Employment,imd_domain_Income,0.96
imd_domain_Health,imd_domain_Income,0.9
