,children_low_income_relative_level,residual_waste_per_household_kg_level,pct_waste_recycled_level,anxiety_high_pct_level,life_satisfaction_low_pct_level,rough_sleeping_single_night_level,post16_18_positive_destination_pct_level,pct_adults_inactive_level,obesity_prevalence_adults_level,per_capita_emissions_tCO2e_level,temp_accom_households,mean_imd_score,imd_domain_Barriers,imd_domain_Health,imd_domain_Living
children_low_income_relative_level,1.0,0.3214010199501861,-0.6702255747669278,0.3191033259274003,0.5080972545051803,0.4050505664559525,0.004271788131176961,0.8015042729715472,0.5328485788704027,-0.6109457521600712,0.1190110558831807,0.9138083570262183,0.57941913951672,0.7426120963868321,0.8443526705197768
residual_waste_per_household_kg_level,0.3214010199501861,1.0,-0.44334005185873704,0.38501794916743715,-0.01842701353709259,0.3935607086735112,-0.4959299845450266,0.22534898843067652,-0.21805188846294174,0.06428159816428525,0.2521516042530433,0.28214769177383786,0.35324408139032154,0.08338004045797999,0.26829737606719584
pct_waste_recycled_level,-0.6702255747669278,-0.44334005185873704,1.0,-0.36775603845633015,-0.4184921769057722,-0.24266489817945402,0.390479160012967,-0.31470393455906076,-0.2030206049344667,0.17717224129857378,0.1677999861477506,-0.5603633317842314,-0.5169619138297524,-0.3387273241314882,-0.7381495874017955
anxiety_high_pct_level,0.3191033259274003,0.38501794916743715,-0.36775603845633015,1.0,0.473601146818303,0.13955371476877046,-0.5042065580430969,0.3863908688064222,0.46010526446707134,-0.1813593207021762,0.22360676622931763,0.4457300267515214,0.2335140123291433,0.41192449618893673,0.29381348267107277
life_satisfaction_low_pct_level,0.5080972545051803,-0.01842701353709259,-0.4184921769057722,0.473601146818303,1.0,-0.18951485384011013,-0.2387292886883826,0.5144236417382428,0.7504726180040471,-0.22763848439930215,0.023245971834733523,0.5225526683384913,0.3360909703871191,0.4206768666448273,0.5262134828109254
rough_sleeping_single_night_level,0.4050505664559525,0.3935607086735112,-0.24266489817945402,0.13955371476877046,-0.18951485384011013,1.0,0.27078779075377757,0.3974775418380983,-0.09096902446231335,-0.38281805614413295,0.4572083913533762,0.5060293195282553,-0.1212305340763517,0.593235967701976,0.1366685721259515
post16_18_positive_destination_pct_level,0.004271788131176961,-0.4959299845450266,0.390479160012967,-0.5042065580430969,-0.2387292886883826,0.27078779075377757,1.0,0.2494480904554488,0.14170989691139066,-0.4026727836407438,0.3584406625845171,0.13339636592248108,-0.36560368565719603,0.33782483053965695,-0.1213200648682635
pct_adults_inactive_level,0.8015042729715472,0.22534898843067652,-0.31470393455906076,0.3863908688064222,0.5144236417382428,0.3974775418380983,0.2494480904554488,1.0,0.75752482283815,-0.7042817029738239,0.5518780042477622,0.8700666975166729,0.22118158015919778,0.841185379599936,0.5723308851987304
obesity_prevalence_adults_level,0.5328485788704027,-0.21805188846294174,-0.2030206049344667,0.46010526446707134,0.7504726180040471,-0.09096902446231335,0.14170989691139066,0.75752482283815,1.0,-0.5890489748624773,0.3932885170928984,0.6451382178815156,0.14219708073196355,0.6641564481094183,0.46957279103233335
per_capita_emissions_tCO2e_level,-0.6109457521600712,0.06428159816428525,0.17717224129857378,-0.1813593207021762,-0.22763848439930215,-0.38281805614413295,-0.4026727836407438,-0.7042817029738239,-0.5890489748624773,1.0,-0.3875304665822923,-0.6779904455331338,-0.042864304852452656,-0.807493874256761,-0.3155573537988088
temp_accom_households,0.1190110558831807,0.2521516042530433,0.1677999861477506,0.22360676622931763,0.023245971834733523,0.4572083913533762,0.3584406625845171,0.5518780042477622,0.3932885170928984,-0.3875304665822923,1.0,0.41857955118281737,-0.3390484093252284,0.5535950819296755,0.027172619854315096
mean_imd_score,0.9138083570262183,0.28214769177383786,-0.5603633317842314,0.4457300267515214,0.5225526683384913,0.5060293195282553,0.13339636592248108,0.8700666975166729,0.6451382178815156,-0.6779904455331338,0.41857955118281737,1.0,0.383978894147949,0.9229090063876022,0.8129242921632829
imd_domain_Barriers,0.57941913951672,0.35324408139032154,-0.5169619138297524,0.2335140123291433,0.3360909703871191,-0.1212305340763517,-0.36560368565719603,0.22118158015919778,0.14219708073196355,-0.042864304852452656,-0.3390484093252284,0.383978894147949,1.0,0.10889922416081964,0.6823994288588592
imd_domain_Health,0.7426120963868321,0.08338004045797999,-0.3387273241314882,0.41192449618893673,0.4206768666448273,0.593235967701976,0.33782483053965695,0.841185379599936,0.6641564481094183,-0.807493874256761,0.5535950819296755,0.9229090063876022,0.10889922416081964,1.0,0.5774762976591665
imd_domain_Living,0.8443526705197768,0.26829737606719584,-0.7381495874017955,0.29381348267107277,0.5262134828109254,0.1366685721259515,-0.1213200648682635,0.5723308851987304,0.46957279103233335,-0.3155573537988088,0.027172619854315096,0.8129242921632829,0.6823994288588592,0.5774762976591665,1.0
