,gdhi_level,gdhi_trend,children_low_income_relative_level,children_low_income_relative_trend,children_low_income_absolute_level,children_low_income_absolute_trend,residual_waste_per_household_kg_level,residual_waste_per_household_kg_trend,pct_waste_recycled_level,pct_waste_recycled_trend,anxiety_high_pct_level,anxiety_high_pct_trend,life_satisfaction_low_pct_level,life_satisfaction_low_pct_trend,rough_sleeping_single_night_level,rough_sleeping_single_night_trend,rough_sleeping_longterm_level,rough_sleeping_longterm_trend,post16_18_positive_destination_pct_level,post16_18_positive_destination_pct_trend,pct_adults_inactive_level,pct_adults_inactive_trend,household_recycling_rejects_tonnes_level,household_recycling_rejects_tonnes_trend,per_capita_emissions_tCO2e_level,per_capita_emissions_tCO2e_trend,violent_crime_hospital_admissions_level,violent_crime_hospital_admissions_trend,mental_health_qof_prevalence_level,mental_health_qof_prevalence_trend,smoking_qof_prevalence_level,smoking_qof_prevalence_trend,violent_crime_sexual_offences_per_1000_level,violent_crime_sexual_offences_per_1000_trend,violent_crime_violence_offences_per_1000_level,violent_crime_violence_offences_per_1000_trend,reoffending_pct_level,reoffending_pct_trend,obesity_prevalence_adults_level,obesity_prevalence_adults_trend,mean_imd_score,imd_domain_Barriers,imd_domain_Education,imd_domain_Employment,imd_domain_Health,imd_domain_Income,imd_domain_Living,temp_accom_households,temp_accom_dependent_children_households,temp_accom_sent_elsewhere_per_1000,homelessness_duty_accepted_pct
gdhi_level,1.0,0.8620704437901441,-0.36126527774089046,-0.2805790037190842,-0.38571642004954565,-0.3884151219159925,0.17391018447435247,-0.10816687300022447,0.4649244515191538,-0.07811103850473163,0.009119685384549369,0.1096757089294186,-0.6575491158995561,-0.28363336483727386,0.4386643891471612,-0.3380597767267831,0.3193151747729847,-0.323043180214585,0.14319402892240515,0.04557202832161084,-0.21752267949533843,0.24768871072659107,0.4772496780934792,-0.2730364838225155,-0.08428861623399442,0.23389306295046272,-0.17864575045512548,-0.14792107274032873,0.0007718619510460909,0.6150463962405781,-0.17288480303421855,-0.02841529735774273,0.12407930598847133,0.0452115490818845,0.09427594800046732,-0.13052695226028016,0.06247954709901045,0.5261129293894155,-0.4831700147441196,-0.10502955195156802,-0.22527986720539883,-0.5616802504606807,-0.16195366149601526,-0.15875554728077174,-0.022524924782464362,-0.2143755591710325,-0.5646194283059724,0.27961686496709814,0.256560247410784,0.022340975384438994,-0.36719561830030645
gdhi_trend,0.8620704437901441,1.0,-0.3563955864151723,-0.46447830260865774,-0.36972569297522334,-0.48777335292330976,0.019451483194486585,0.006919474756922483,0.4761000551726517,-0.2179703267225081,-0.13390511340322475,-0.017051310152180876,-0.5596680763927007,-0.022675659210787458,0.32301557295595357,-0.6062876811359706,0.28026665022889413,-0.40753186438902916,0.05963750999260844,-0.01647096118379256,-0.39919375527097356,0.16097740450300504,0.3861917190084739,-0.3341247149652995,0.0009585998251484717,0.14511113383387209,-0.3019144295944169,0.19774209693123523,-0.22602519701915053,0.44863126085494526,-0.31482432601694293,0.11616384820614183,-0.18358998110636876,-0.21193462696335577,-0.1734567523200782,-0.3705234123219458,0.02153903487310474,0.3880040878848664,-0.6004111157368408,-0.17953533733385457,-0.35293100837238955,-0.38209555100449316,-0.26623368198375924,-0.34443925719097157,-0.17930898249105118,-0.32053766544388845,-0.606773482314735,-0.11668401564808513,-0.09619197396843278,0.011438512802924447,-0.3223760247060802
children_low_income_relative_level,-0.36126527774089046,-0.3563955864151723,1.0,0.7809772545534506,0.9989939529608725,0.8201848861628137,0.3214010199501861,0.5725152272419748,-0.6702255747669278,-0.36786660944911487,0.3191033259274003,-0.1472344056266003,0.5080972545051803,0.03434580589566795,0.4050505664559525,0.02967642901673075,0.4277730869753591,0.08000925291745108,0.004271788131176961,-0.3500375934426333,0.8015042729715472,0.5741423195331538,0.03251676922823391,-0.19146378479175621,-0.6109457521600712,0.38985066330131524,0.8212740094682148,-0.447589507630328,0.5557858500075682,-0.2103054800182924,0.8036956005452004,-0.4830103489087361,0.5156078810523231,0.5039144547483518,0.5961836144657543,0.6017112584354972,0.7105850142954389,-0.254611308882249,0.5328485788704027,0.42860940758096455,0.9138083570262183,0.57941913951672,0.9249223215495358,0.8216238990769644,0.7426120963868321,0.945191880155316,0.8443526705197768,0.1190110558831807,0.2585319372850807,-0.046010842487380105,-0.05561037501757472
children_low_income_relative_trend,-0.2805790037190842,-0.46447830260865774,0.7809772545534506,1.0,0.7696243601356869,0.977899290653484,0.17349764051635694,0.13899105579234802,-0.4108070677240271,0.157343084549599,0.23923878862989667,-0.24085611554040148,0.5104633897353748,-0.02247772459132502,0.3384376187116176,0.46694474534425595,0.3022232108051822,0.052494664478111804,0.19327480000286912,-0.14501934910665576,0.8246550109608458,0.6430137628365127,-0.08087421881532043,0.052928611178653946,-0.6160590649364464,0.47520164948939847,0.8264608588974307,-0.7463032609832206,0.6373968573446559,0.025078487970479256,0.8012235624108006,-0.3626395296508161,0.7220924463328586,0.8251995738456384,0.7434104127108848,0.8190981436826952,0.5063959263467,-0.09813116295172722,0.7027368202655844,0.545437312958471,0.8477336444545868,0.1901406992404773,0.8681301902353934,0.8479078661421421,0.7692960294063534,0.8457385271705027,0.7001850859603862,0.5297528286852878,0.45722187988679647,-0.012311579808492904,-0.1453355939755916
children_low_income_absolute_level,-0.38571642004954565,-0.36972569297522334,0.9989939529608725,0.7696243601356869,1.0,0.8165752387673825,0.3226550379286749,0.5947787620660262,-0.6808586748068499,-0.3852758936172885,0.29921881192976785,-0.15596318887097455,0.5073842654266729,0.044336575774976905,0.38186310725914663,0.018069019245442974,0.4109754702305099,0.08755007189150077,-0.011760757111266373,-0.34871013487369257,0.7860499499560836,0.5622916460882642,0.028524700359622814,-0.19405770530070973,-0.5912212330972508,0.36483995843228767,0.7994851172080573,-0.414352796881184,0.5357783623702711,-0.24000176425437403,0.782694599282619,-0.4820416508426308,0.48280600528144046,0.47992449392076914,0.5648447867737278,0.5783242226649822,0.69132025465763,-0.25427930388354075,0.5191210868516135,0.4343988936897371,0.8968133010251365,0.5990167747765774,0.9093775937380422,0.7982395551969368,0.7142688403121975,0.9308409277877819,0.8485221345139894,0.08758704627888447,0.23415358770504707,-0.03877531297471348,-0.032075948250403635
children_low_income_absolute_trend,-0.3884151219159925,-0.48777335292330976,0.8201848861628137,0.977899290653484,0.8165752387673825,1.0,0.16067515975781707,0.24968779163890972,-0.47312228159973513,0.08105656174258416,0.1412738131062992,-0.3116235204988953,0.5509838036413073,0.07401280205184237,0.28074472599459815,0.3993473265718538,0.28561252518046465,0.045123321582310125,0.14694265617332447,-0.16200481144647014,0.7711093503016649,0.6521730199349502,-0.12849637736864447,0.02109768070628877,-0.5541781845431405,0.3884642284398507,0.7823952089410989,-0.6110207260034692,0.5693389666778205,-0.08767729750098796,0.751989146638314,-0.3658935450382149,0.6077916286952162,0.7513655335380793,0.642493377845637,0.7398582713226711,0.4888142848248049,-0.13605997111285262,0.6481048934954438,0.5843795535689662,0.8163443918363522,0.28038312343679567,0.849148222816399,0.7796954812899487,0.6894619705405735,0.8252503275337988,0.745854727661089,0.37417923141602927,0.33058648721718586,0.000330026463511965,-0.110123626443206
residual_waste_per_household_kg_level,0.17391018447435247,0.019451483194486585,0.3214010199501861,0.17349764051635694,0.3226550379286749,0.16067515975781707,1.0,0.5235515034346693,-0.44334005185873704,-0.38108937272608906,0.38501794916743715,-0.15316441447673737,-0.01842701353709259,-0.3478507205942125,0.3935607086735112,-0.24700216956462284,0.44435274848988043,-0.11208704757733597,-0.4959299845450266,-0.07106282500963482,0.22534898843067652,0.20629306138837658,0.42259688424692876,-0.4070354232837521,0.06428159816428525,-0.2808712842730587,0.24751401652133959,-0.2554280327347962,0.3256477302133247,-0.10917720073537907,0.21453845619199616,-0.1535720700235106,0.21786820910455507,-0.005612059034992903,0.22564133306815115,0.02624297846502774,0.1288555017772684,0.09684934674181156,-0.21805188846294174,0.2711765560547906,0.28214769177383786,0.35324408139032154,0.2899794237068286,0.20725582525493147,0.08338004045797999,0.3277255404036848,0.26829737606719584,0.2521516042530433,0.4112260625896214,0.40299755914786006,0.2776018443237335
residual_waste_per_household_kg_trend,-0.10816687300022447,0.006919474756922483,0.5725152272419748,0.13899105579234802,0.5947787620660262,0.24968779163890972,0.5235515034346693,1.0,-0.48453188924757334,-0.8808709918414911,-0.15279893584852544,-0.24862483396616744,-0.05977894762278203,-0.0491187583794296,0.2667023693190293,-0.5235211069215696,0.37274524292701966,-0.011387830119959771,-0.12294140176470406,-0.15466261953817792,0.2712155694949578,0.34951667097404426,0.335555654460992,-0.46607309532173724,-0.13997839846140325,-0.11011592060499595,0.09488824627436239,0.2023342137720755,0.1233179392532568,-0.2450806585839681,0.14204410299092052,-0.536019943523439,-0.12806705439510796,-0.10486209210425651,-0.04313200850048863,-0.07762599326991147,0.3052463750217399,0.12714213881694827,-0.24205092562708472,0.48768344297462324,0.28801236019463605,0.518302200739018,0.35580996261631104,0.1276993462740656,0.059994673922473464,0.37996750880260255,0.39317021507050864,-0.3138067530502836,-0.0782275918114643,0.1882270851441004,0.23020356955068833
pct_waste_recycled_level,0.4649244515191538,0.4761000551726517,-0.6702255747669278,-0.4108070677240271,-0.6808586748068499,-0.47312228159973513,-0.44334005185873704,-0.48453188924757334,1.0,0.24699903855999453,-0.36775603845633015,-0.13545475368875512,-0.4184921769057722,-0.1406189134217945,-0.24266489817945402,0.08228443816979028,-0.3950985610445196,0.19046816019003882,0.390479160012967,0.34358545856252753,-0.31470393455906076,-0.20763989427998247,0.26760099015356165,-0.07499320673577087,0.17717224129857378,-0.011730822060992532,-0.46124887182395324,0.053100204597302185,-0.3429340195246301,0.29380418787583423,-0.5772739691440828,0.4415565911158461,-0.3129069500012044,-0.2072050335095603,-0.36467159306207775,-0.27549954214625194,-0.5581085770601375,0.2189680927163419,-0.2030206049344667,-0.02582625749517883,-0.5603633317842314,-0.5169619138297524,-0.4934610039208094,-0.41324633598074545,-0.3387273241314882,-0.5606707268273549,-0.7381495874017955,0.1677999861477506,-0.11299300685170835,0.06446713012351558,-0.009765643555261909
pct_waste_recycled_trend,-0.07811103850473163,-0.2179703267225081,-0.36786660944911487,0.157343084549599,-0.3852758936172885,0.08105656174258416,-0.38108937272608906,-0.8808709918414911,0.24699903855999453,1.0,0.16163712891648246,0.05760378346543454,0.29119808280939785,0.21187725575860122,-0.28553892995777036,0.6763705117740674,-0.31597412153787935,-0.11595026623867236,0.035096335734655384,0.05688206365662919,-0.14664669311992673,-0.18649271415723392,-0.5279663562367353,0.6153330024443453,0.1324771722517183,0.0966709003585086,0.05096428772032454,-0.3197684821339089,-0.017657869858195,0.15669590663679467,0.059842159833815356,0.42323280229926635,0.25960768486076075,0.330811944023059,0.17907734781580173,0.23947130048775364,-0.2261496245637494,-0.23301676336009342,0.33733533274913097,-0.19143619304931112,-0.10159670086862206,-0.398912983621073,-0.158666708421543,0.011511965594047763,0.02931564980928013,-0.20545352908276168,-0.10018801071914377,0.3339471914757858,0.03457631035769233,-0.09515961108052397,-0.18132227792123934
